difficulty,discrimination
0.79028404,0.13984226
0.47609535,0.24256648
0.4797742,0.15562853
0.41925654,0.43831593
0.51699555,0.4454172
0.47877586,0.41135046
0.48678663,0.16641407
0.448331,0.14859863
0.4815695,0.35189036
0.5171581,0.16223288
0.53930336,0.4017822
0.47851437,0.32181334
0.48440874,0.32801828
0.50179106,0.386481
0.487589,0.36032447
0.47533226,0.35992754
0.5057173,-0.0049541458
0.48978618,0.29795033
0.5298562,0.2451291
0.46128738,0.29451156
0.4173386,0.36871457
0.4385367,0.40543976
0.44221336,0.13580881
0.43418777,0.28169757
0.50771,0.35563776
0.4529212,0.40985557
0.50296384,0.54769695
0.5160794,0.21169272
0.5653149,0.25849515
0.49105698,0.27079546
0.5216522,0.5811901
0.4689144,0.21870072
0.44098514,0.2470627
0.47600225,0.31986147
0.4493963,0.24753506
0.45980066,0.3651587
0.49029046,0.36239928
0.77177614,0.40245134
0.45716232,-0.28706536
0.5080089,0.5491907
0.53213584,0.12410529
0.507747,-0.15190172
0.43353236,0.2531202
0.50071186,0.258223
0.44810495,0.2748768
0.43462175,0.43585443
0.46983528,0.3342168
0.5224108,0.5145423
0.5416875,0.19253942
0.5192945,0.44673553
0.51635337,0.23849075
0.46282476,0.41658133
0.57729083,0.41243088
0.50420773,0.42816243
0.4978875,0.32045868
0.49084863,0.457124
0.466563,0.38250688
0.4798656,0.28475884
0.45025688,0.41230616
0.43825272,0.36191085
0.5182417,0.61310786
0.72290456,0.38407847
0.5487652,0.2209512
0.5094286,0.23474242
0.482082,0.23350592
0.49761596,0.20366149
0.48805082,0.35591444
0.512939,0.48128498
0.51808906,0.075667135
0.53880125,-0.48124295
0.48316675,0.2924725
0.51294553,0.5548973
0.49604115,0.5664307
0.5097228,0.41900665
0.5154447,0.3157841
0.4498883,0.2512689
0.48690653,0.4677934
0.50362724,0.4064454
0.4983446,0.56261325
0.5440202,0.34313875
0.47314948,0.33688977
0.47199497,0.39882526
0.5121465,0.45801222
0.5583636,0.39803645
0.4575604,0.4181853
0.57402796,0.36479348
0.54148144,0.09374494
0.4393356,0.5359946
0.51564705,0.3675454
0.54060096,0.15210716
0.50557166,0.19796982
0.49239615,0.2939376
0.48861498,0.37960723
0.4732674,-0.018985175
0.5115526,0.32920235
0.45848897,0.4378997
0.45268452,0.27646807
0.49006915,0.42534265
0.5254824,0.3805379
0.502705,0.30395755
0.43985367,0.4032023
0.3169371,0.43782684
0.48321033,-0.39345476
0.5713112,0.37678173
0.45088366,0.529581
0.5256678,0.0084877005
0.3242717,0.41221833
0.4664082,0.5067054
0.24964014,0.35909656
0.48447207,0.4044362
0.50825304,0.24833435
0.5394149,0.5023603
0.47277516,0.6029225
0.641467,0.42169443
0.38011912,0.40109754
0.5008982,0.374532
0.34265712,0.41955388
0.44893077,0.33901817
0.49657342,0.31902522
0.50650674,0.12828042
0.53327054,0.31202093
0.5030458,0.41616842
0.504737,0.3576398
0.48538077,0.23535538
0.51896495,0.31318465
0.5096728,0.2255569
0.5197243,0.53110605
0.4815825,0.20218894
0.4928698,0.41985893
0.33151907,0.5181488
0.46688896,0.2934162
0.38155785,0.53263944
0.4752895,0.5343659
0.47895068,0.244109
0.4346156,0.52933306
0.4914934,0.59280974
0.5547091,0.19331108
0.5665617,-0.0015438611
0.47768176,0.42050198
0.5447763,0.26425943
0.34355164,0.48299453
0.50886315,0.447602
0.5028155,0.31477836
0.55190593,0.95328945
0.43124428,0.22957022
0.48817727,0.092297934
0.5231216,0.16631682
0.47315946,0.22266518
0.44756687,0.42269072
0.48435488,0.6436075
0.51305044,0.54355097
0.48772433,0.36228392
0.58481526,0.3692704
0.48466936,0.38422444
0.45982653,0.035910968
0.54708934,0.37991598
0.45759854,0.4091021
0.48566785,0.24377595
0.3842213,0.38815564
0.50547856,0.32142523
0.42189315,0.44037813
0.447956,0.27059603
0.50536585,0.22192802
0.49604875,0.10105551
0.4833809,0.30227432
0.49820918,0.26265058
0.5188837,0.32632706
0.54821277,0.2867242
0.480952,0.32209793
0.51858664,0.42101163
0.4892617,0.21267524
0.51437753,0.035739668
0.41523445,0.37895453
0.5509213,0.49883643
0.42753154,0.486205
0.5206802,0.43753704
0.55164987,0.32363325
0.48576072,0.12930581
0.5046874,0.3403352
0.5349802,0.22859117
0.4469238,-0.008329206
0.3057419,0.2029606
0.4933088,0.24043538
0.5294788,0.34279206
0.5305114,0.58624154
0.55325955,0.417026
0.42345673,0.52223605
0.592554,0.24800605
0.38045073,0.35571927
0.5371385,0.19565974
0.59376794,0.24488227
0.40806022,0.4604015
0.48172116,0.25549778
0.4661611,0.38867533
0.44803563,0.3332839
0.49888223,0.42681643
0.48613307,0.34537277
0.483395,0.20526865
0.5390233,0.41209114
0.50702715,0.46897522
0.49529234,0.059095424
0.4486748,0.29656962
0.5642086,0.34019318
0.4935454,0.39797172
0.46750256,0.42052367
0.45592734,0.34889132
0.52592003,0.38121027
0.4554147,0.30387414
0.48280793,0.26874086
0.4928011,0.26441735
0.5557929,-0.23639658
0.75926566,0.3769722
0.49706876,0.39627856
0.52929413,0.53607327
0.5147069,0.2008287
0.54011357,0.15198988
0.53647757,0.2810701
0.5148478,0.5038732
0.49227554,0.3309623
0.48749793,0.51131415
0.5276417,0.47619268
0.55907303,0.27899924
0.51098216,0.2648674
0.42151642,0.3422761
0.51957893,0.322167
0.55110687,0.32934338
0.50577897,0.3934522
0.45858023,0.31307748
0.6049706,0.3610429
0.47743317,0.40146932
0.43316427,0.4831308
0.53622717,0.27656412
0.49266887,0.45871487
0.60186243,0.35891744
0.4679276,0.40155467
0.49557662,0.32355872
0.4573354,0.18843195
0.40337414,0.34420645
0.4338115,0.4899268
0.4822308,0.37961653
0.5140082,0.16389275
0.54582846,0.34123173
0.42654738,0.19681637
0.57994854,0.25381175
0.524763,0.23545091
0.48446894,0.2321363
0.51518905,0.35908183
0.72901756,0.5056198
0.5222955,0.082400106
0.48870593,-0.043910585
0.50320804,0.14359246
0.48965278,0.20376472
0.53564596,0.27488348
0.4943231,0.29526475
0.44165123,0.45626327
0.4833731,0.27940777
0.40455282,0.3107149
0.5105172,0.28869948
0.48939833,0.35681245
0.46852958,0.42665938
0.49466705,0.29022098
0.56449944,0.3838064
0.44347665,0.4257184
0.5289594,0.20190698
0.49017224,0.3049701
0.48028368,0.36161208
0.5093759,0.5320554
0.46686167,0.31017688
0.5054355,0.5233393
0.41868734,0.25910455
0.4660914,0.34934354
0.43829215,0.067024745
0.5220111,0.320073
0.47960588,0.29162017
0.46306503,0.40650943
0.5003402,0.33044812
0.50164235,0.33855668
0.55008316,0.34412274
0.4935054,0.26562408
0.52946055,0.21904592
0.5837424,0.33455867
0.43189868,0.5174512
0.44470617,0.6194173
0.45465013,0.42847276
0.4316212,0.1870794
0.4700532,0.4245349
0.50158316,0.091186926
0.49124703,0.41090506
0.4815291,0.57112664
0.49159205,0.09903304
0.60070235,0.19857031
0.50200266,0.32373694
0.49958465,-0.09379514
0.47045282,0.2406604
0.77994066,0.39679927
0.5069306,0.36887056
0.54534215,0.22926524
0.5103277,0.19341592
0.506654,0.55104685
0.5259225,0.34825358
