difficulty,discrimination
0.52072763,0.40351108
0.516812,0.2077417
0.48193663,0.2568808
0.5238268,0.4437125
0.54539037,0.20280007
0.43851027,0.30848143
0.47492656,0.20684458
0.50015116,0.2796801
0.4759797,0.41564682
0.45254382,0.5826257
0.43953076,0.24548668
0.48330668,0.4427707
0.4957402,0.4441186
0.4761381,0.43866447
0.31188384,0.26135358
0.5608271,0.42869794
0.4634704,0.39034978
0.4157757,0.49381244
0.45178315,1.5543324
0.5288881,0.51794016
0.54922503,0.75921416
0.564945,0.23964696
0.48799646,0.43794885
0.4871952,0.3137328
0.51408553,-0.0455912
0.48592925,0.35636523
0.51170725,0.32276097
0.5030524,0.26371592
0.5092683,0.4417475
0.43082765,0.2831064
0.46611392,0.38600278
0.4412566,0.44014665
0.5108475,0.48572564
0.5062015,0.34661713
0.4878021,0.4618221
0.5073552,0.40475377
0.50975937,0.56995726
0.4828604,0.26262593
0.5245175,0.37299675
0.47831032,0.021918718
0.47688657,0.52938515
0.47492903,0.44003844
0.46043238,0.12421848
0.50870925,0.30169258
0.45340306,0.33587208
0.5462325,0.33880174
0.4333238,0.5302363
0.80968595,0.3209624
0.51401174,0.4861641
0.44482505,0.33786786
0.7948141,0.35360494
0.45638153,0.35947788
0.49023575,0.30318493
0.44570148,0.035189766
0.495144,0.8565129
0.52630615,0.3160584
0.5575762,0.5509049
0.5209427,0.22966474
0.338565,0.29413652
0.480751,0.24752411
0.4103309,0.33255956
0.49694324,0.4043205
0.47791922,0.39526895
0.4768106,0.46804255
0.489125,0.45752433
0.6553491,0.39546147
0.48554227,0.37607467
0.49721363,0.25320792
0.51021785,-0.54934233
0.5752833,0.2819847
0.44535452,0.305994
0.5145061,0.37685964
0.5618017,0.32455477
0.519752,0.31642282
0.49234283,0.41672862
0.48933345,0.42737517
0.52666223,0.31319255
0.45769557,0.3139547
0.48551735,0.5684304
0.41754168,0.46580186
0.49192786,0.45141318
0.45984972,0.37450472
0.4593851,0.3918868
0.490826,0.3924024
0.5169176,0.24731275
0.4882,0.97327656
0.48688453,0.35598582
0.39528167,0.42971095
0.51557547,0.12694544
0.45352125,0.54444325
0.49560815,0.3384016
0.74648017,0.23037952
0.49034438,0.3745753
0.5429082,0.43064135
0.49525976,0.15344402
0.51372164,0.30931222
0.46497953,0.24045761
0.49401924,0.40007228
0.52415603,0.4790201
0.4648311,0.44296664
0.42337853,0.30918825
0.48086184,0.33681992
0.47647995,0.18106727
0.45228097,0.49600416
0.46528193,0.2538192
0.47420675,0.25441027
0.52004224,0.42700553
0.50665355,0.27369204
0.49393925,0.32871628
0.48867804,0.30478337
0.53448635,0.22053093
0.5665087,0.45631412
0.46642995,0.3668248
0.46448475,0.25353318
0.462829,0.3109692
0.49226832,0.31315762
0.4783835,0.22879803
0.40752307,0.55884165
0.47949645,0.11026364
0.5139309,0.3116082
0.4343632,-0.12819001
0.5174474,0.2575107
0.49696103,0.11839141
0.44752917,0.2820508
0.48276946,0.32604885
0.4607345,0.4109754
0.452866,0.3824655
0.45740345,0.33545664
0.53546,0.41226858
0.5588975,0.3112362
0.51355904,0.32063287
0.43538696,0.34239435
0.47629136,0.4028909
0.48880526,0.36706972
0.4906943,0.26699662
0.51667595,0.2804661
0.48169002,0.29555032
0.4670512,0.3834561
0.48368287,0.35513824
0.47828037,0.5146933
0.52486074,0.5075525
0.39264467,0.27471733
0.47605863,0.29715225
0.5145137,0.40074545
0.4942063,0.30322236
0.5514488,0.19791074
0.5681895,0.03532796
0.48786616,0.4866223
0.7869793,0.44327125
0.47918013,0.26871964
0.49264473,0.42188722
0.51364756,0.43360862
0.4589176,0.21528359
0.46314803,0.31943667
0.515579,0.37592277
0.4448765,0.2620579
0.46378458,0.41235304
0.5142765,0.51044244
0.5038598,0.25292632
0.42761576,0.50935906
0.5118478,0.30040574
0.4530191,0.24696873
0.5046569,0.32016107
0.28020656,0.2257349
0.5330877,0.27442646
0.46221077,0.32199302
0.5230819,0.11409666
0.45741156,0.32025367
0.41612428,0.38576233
0.47079572,0.4704786
0.528783,0.34780917
0.48417026,0.3438315
0.5058728,0.4411173
0.4574992,0.16313544
0.51678264,0.4909845
0.31182712,0.30828196
0.4744754,0.040200368
0.3811924,0.4609614
0.5025191,0.41574448
0.4555154,0.15190923
0.5006552,0.33832052
0.51637757,0.25210685
0.4556166,0.071192876
0.53252256,0.3214075
0.52659696,0.3503534
0.5453456,0.29251656
0.50595903,0.18261601
0.50066465,0.6347557
0.55372584,0.25887373
0.43760824,0.5061186
0.4820574,0.29947567
0.5297828,0.327196
0.49102342,0.19559948
0.51895374,0.41518664
0.5563816,0.23959225
0.49809948,0.001843669
0.49034932,0.5295559
0.52673304,0.3350206
0.44260868,0.5494924
0.4860258,0.22860107
