BaselineOnly,CoClustering,KNNBasic_Itembased,KNNBasic_Userbased,KNNWithMeans_Itembased,KNNWithMeans_Userbased,NMF,NormalPredictor,SlopeOne,SVD
0.7847,0.8298,1.0103,0.7668,0.7848,0.8052,0.8112,1.3468,0.786,0.7908
0.7095,0.8942,0.9407,1.0093,0.7966,0.8157,0.8048,1.4812,0.8078,0.7055
0.7952,0.8594,0.8797,0.8304,0.832,0.8379,0.851,1.3125,0.8243,0.8031
0.9625,1.1109,1.2494,1.0642,1.0486,1.0727,1.0513,1.534,1.0242,0.9742
0.6723,0.9254,0.8082,0.7421,0.7483,0.749,0.7612,1.3099,0.731,0.6706
0.742,0.8395,0.9158,0.8036,0.7646,0.7601,0.8011,1.3453,0.7404,0.7146
0.8684,0.9699,0.9043,0.9036,0.9057,0.8808,0.8995,1.2841,0.9135,0.8626
0.8208,0.8647,1.0419,0.9126,0.8781,0.8353,0.8273,1.2874,0.8491,0.8424
0.6206,0.7018,0.7052,0.6755,0.6636,0.6703,0.694,1.1135,0.6749,0.6249
0.7,0.7639,0.9695,0.74,0.7377,0.7209,0.7438,1.2749,0.717,0.7015
0.5154,0.6718,0.7379,0.6241,0.5168,0.5089,0.5366,1.1427,0.5156,0.519
0.7238,0.7601,0.9086,0.7569,0.7319,0.7383,0.7427,1.409,0.727,0.7123
0.9761,1.0074,1.117,0.9763,1.0089,0.9711,1.0137,1.4668,0.9886,0.9746
0.9275,1.0308,1.357,1.0286,0.9087,0.9541,0.9152,1.6665,0.9265,0.9429
1.0948,1.1419,1.195,1.1151,1.146,1.1055,1.1485,1.4199,1.091,1.134
1.0112,1.0284,1.2831,1.5393,1.0742,1.025,1.0167,1.8516,0.9912,0.9839
0.8715,0.8995,0.9654,0.8788,0.8877,0.8606,0.8639,1.3582,0.8834,0.8797
0.5492,0.629,0.5906,0.6312,0.6392,0.6366,0.6644,1.1614,0.6439,0.5384
0.6075,0.8765,0.8833,0.617,0.6221,0.649,0.6572,1.1667,0.6252,0.5909
1.0224,1.0254,1.1845,1.016,1.0078,1.0191,1.0411,1.5304,1.0062,0.9986
0.9728,1.0349,1.0936,0.9905,1.0052,0.9797,0.9822,1.5232,1.0,0.9565
1.0024,1.0545,1.0956,1.1155,1.0528,0.9898,1.0285,1.4683,1.0066,1.0125
0.8484,0.9053,0.9808,0.8788,0.875,0.8561,0.8648,1.4314,0.8763,0.8547
0.6612,0.6399,0.9398,0.6553,0.6379,0.6457,0.6392,1.3473,0.6115,0.6578
0.6872,0.883,0.8558,0.8993,0.8602,0.8664,0.8964,1.319,0.8538,0.6736
0.7603,0.833,0.9169,1.0648,0.8601,0.8022,0.8303,1.5093,0.8287,0.7916
0.8897,0.9733,0.9869,1.0537,0.9816,0.9584,1.0142,1.4405,0.9927,0.8958
0.9642,1.0267,1.1692,0.9994,0.9573,0.9728,1.0018,1.4917,0.9434,1.0103
1.0042,1.2209,1.0495,1.1378,1.1978,1.0622,1.1665,1.3967,1.1025,1.0191
0.692,0.8689,0.925,0.7318,0.7477,0.7464,0.7617,1.2265,0.707,0.7047
0.8852,0.9723,0.9386,1.0062,0.9588,0.9257,0.9006,1.4761,0.9389,0.8906
0.7819,0.8493,0.836,0.8393,0.8344,0.8095,0.8786,1.2381,0.8815,0.8029
0.8893,0.818,1.0666,0.8452,0.8272,0.8184,0.8368,1.4348,0.8089,0.903
0.9278,0.9679,1.1189,0.9354,0.9342,0.9547,0.9761,1.4072,0.949,0.9348
0.8617,0.8641,0.9635,0.8672,0.898,0.8552,0.8293,1.3995,0.8647,0.8743
0.8455,0.8831,0.8722,1.0614,0.8967,0.8676,0.88,1.4454,0.8627,0.8545
0.9619,0.9218,1.1685,0.9861,0.9296,0.9464,0.9624,1.5112,0.9003,0.9623
0.7144,0.9233,0.7068,0.9054,0.8051,0.7644,0.8745,1.1766,0.7716,0.7135
1.2749,1.3325,1.1756,1.3754,1.4064,1.322,1.2929,1.3839,1.403,1.2482
0.6041,0.6291,0.6993,0.6499,0.6178,0.6124,0.6683,1.2205,0.6269,0.6205
0.7167,0.8059,0.8702,0.7524,0.7618,0.7344,0.7777,1.3195,0.7239,0.7134
0.6583,0.7396,0.8986,0.6894,0.8338,0.6772,0.7319,1.2141,0.6618,0.6527
0.4739,0.5355,0.5722,0.4835,0.4886,0.4785,0.5124,1.1073,0.4824,0.4886
0.5056,0.5914,0.5805,0.5282,0.5148,0.5196,0.5395,1.1299,0.5182,0.5233
0.8481,0.7915,1.0843,0.7875,0.8027,0.8346,0.819,1.4419,0.7842,0.8192
0.8471,0.8761,0.9072,0.854,0.8415,0.8347,0.8465,1.2441,0.8467,0.8329
0.6677,0.6672,0.8267,0.8119,0.6804,0.6614,0.6687,1.4049,0.6886,0.666
0.5593,0.7893,0.6356,0.699,0.6757,0.6419,0.6738,1.1388,0.6821,0.5465
0.8606,0.8499,1.0417,0.8215,0.8315,0.8481,0.9253,1.4059,0.8333,0.8531
0.5746,0.5882,0.5651,0.6066,0.5941,0.5994,0.6096,1.0796,0.58,0.5736
1.1303,1.0878,1.2093,1.1556,1.171,1.1027,1.0979,1.4897,1.1022,1.1409
0.8598,0.9952,0.9365,0.9171,0.9319,0.8998,0.9069,1.2847,0.9577,0.8745
0.9805,1.1811,1.0764,1.0452,1.0377,1.0527,1.0562,1.3092,1.1023,0.9563
0.9152,0.9109,1.1261,0.9893,0.9535,0.929,0.9742,1.4219,0.8571,0.9073
0.9532,1.0006,1.1154,1.0389,0.9752,0.994,1.0195,1.4116,0.9575,0.9774
1.0686,1.0924,1.2026,1.2283,1.0492,1.0741,1.1274,1.6786,1.0445,1.0929
1.4051,1.4259,1.5843,1.4492,1.3919,1.4476,1.5357,1.9957,1.3803,1.405
1.1808,1.2832,1.2395,1.2375,1.3167,1.2526,1.2588,1.598,1.2725,1.2005
0.5765,0.622,0.7431,0.6206,0.6427,0.582,0.6077,1.1316,0.609,0.5708
0.5712,0.6686,0.708,0.626,0.6202,0.6062,0.5845,1.2345,0.6189,0.5736
1.145,1.2078,1.1821,1.1674,1.1555,1.1692,1.1688,1.5482,1.1204,1.1356
1.2917,1.3902,1.3785,1.7233,1.3571,1.3213,1.3123,1.8848,1.3441,1.2999
0.8489,0.8107,0.8926,0.8661,0.7996,0.8274,0.842,1.2216,0.8296,0.8422
