movieId,mean_rating,std_rating,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,count_users,rated_by_group,rated_by_all_groups
48,3.0789473684210527,1.1242193434958256,0,1,3,1,4,1,12,3,9,2,2,38,"232, 48","232, 48, 435, 262"
168,3.171875,1.2482851139889684,0,1,0,3,5,2,8,2,4,1,6,32,48,"48, 480"
172,2.8035714285714284,0.9750525694686996,0,1,2,0,5,2,10,3,4,1,0,28,48,"48, 480, 555"
653,2.986111111111111,0.8903138380137254,0,1,1,1,3,3,17,2,7,0,1,36,"232, 48","232, 48, 480, 286"
780,3.424107142857143,0.9822978700649337,0,1,2,0,11,11,25,18,23,7,14,112,"232, 153, 48","232, 153, 48, 1, 480, 555, 302, 359"
1193,4.139240506329114,0.7676834486378881,0,0,1,1,0,0,8,5,29,16,19,79,"153, 48, 156","153, 48, 156, 480, 152, 435, 290, 346, 62, 286"
1320,3.0625,0.9006338347784998,0,0,1,1,3,1,8,5,4,0,1,24,48,"48, 480, 555"
1356,3.904255319148936,0.9186373289229307,0,1,0,0,0,0,13,4,13,4,12,47,"153, 48","153, 48, 555"
1485,3.03,1.0122212390256855,0,3,0,1,4,10,11,9,8,2,2,50,"153, 48, 156","153, 48, 156, 480"
1527,3.798507462686567,0.8167735002441253,0,0,0,0,2,6,11,8,21,9,10,67,48,"48, 480, 555, 365, 286"
1580,3.3944444444444444,0.9316363652754333,0,1,1,3,7,4,20,20,22,5,7,90,"232, 153, 48, 156","232, 153, 48, 156, 1, 480, 555, 359, 62, 286"
1584,3.693877551020408,0.9003259047111094,0,0,0,0,3,4,10,8,12,2,10,49,48,"48, 555"
1625,3.6547619047619047,0.9720991570803276,0,1,0,1,2,3,5,4,14,10,2,42,48,"48, 1, 480, 346, 286"
1653,3.8095238095238093,0.916996561902623,0,0,0,0,4,1,7,5,11,6,8,42,48,"48, 480, 62"
1690,3.037037037037037,0.999287495456387,0,0,2,0,5,1,8,5,3,2,1,27,"232, 48","232, 48, 480, 555"
2081,3.4,1.0850219939119794,0,1,1,1,4,3,10,5,12,2,6,45,"232, 48, 156","232, 48, 156, 480"
2115,3.6527777777777777,0.8501817903732801,0,0,1,1,4,1,14,14,22,8,7,72,"232, 48, 156","232, 48, 156, 1, 480, 215, 555, 62"
2194,3.972972972972973,0.6230073339360767,0,0,0,0,0,2,3,3,21,3,5,37,"48, 156","48, 156, 480"
2353,3.641025641025641,0.8732028005590587,0,0,0,0,3,2,10,5,9,5,5,39,48,"48, 1, 480, 435"
2571,4.142361111111111,0.9115866334941459,0,2,1,0,3,4,12,9,42,24,47,144,"232, 153, 48, 156","232, 153, 48, 156, 1, 480, 152, 555, 300, 359, 62, 286"
2617,3.1132075471698113,1.2075145700425407,0,4,1,0,9,3,8,12,8,3,5,53,"232, 153, 48, 156","232, 153, 48, 156, 1, 480, 62"
2791,3.712962962962963,0.9693503555525851,0,0,2,0,3,2,7,9,19,2,10,54,"232, 48, 156","232, 48, 156, 555, 290"
2797,3.75,0.712092319645503,0,0,0,0,2,1,13,4,25,4,5,54,"232, 48, 156","232, 48, 156, 1, 480, 555"
3623,2.7083333333333335,1.0858535878213034,0,2,4,1,9,9,9,5,6,1,2,48,"153, 48","153, 48, 480, 359"
3793,3.7341772151898733,0.8390907893711681,0,1,0,0,3,3,13,16,26,6,11,79,"232, 48","232, 48, 1, 480, 555, 365, 62"
4886,3.8141025641025643,0.7301884401818192,0,0,0,1,2,1,14,12,28,13,7,78,"232, 48","232, 48, 480, 365"
5349,3.608108108108108,0.91513256121225,0,2,0,1,2,4,12,16,23,7,7,74,"232, 153, 48","232, 153, 48, 480, 365, 62, 286"
5445,3.5428571428571427,0.9038679249054465,0,1,1,1,6,0,10,16,25,6,4,70,"232, 48","232, 48, 365, 62, 286"
5882,3.5,0.7905694150420949,0,0,0,0,0,1,1,1,1,1,0,5,"232, 48","232, 48"
5903,3.977272727272727,0.698250751918043,0,0,0,0,1,0,1,5,8,4,3,22,"232, 48","232, 48, 62"
6333,3.8,0.7642584046583388,0,0,0,0,1,4,5,9,15,5,6,45,"232, 48","232, 48, 480, 365, 62"
8371,3.323529411764706,0.7487735069471158,0,0,0,0,2,2,3,4,5,1,0,17,"232, 48","232, 48, 480, 62"
8636,4.02,0.7756498263141843,0,0,0,0,0,3,7,8,10,11,11,50,"232, 48","232, 48, 480, 365, 62"
1,3.8947368421052633,0.837383419994673,0,1,0,0,4,5,15,8,51,8,22,114,"232, 291, 153, 156","232, 291, 153, 156, 1, 480, 555, 290, 359"
2,3.4696969696969697,0.8721273190343601,0,1,1,0,2,6,18,8,21,5,4,66,"232, 153","232, 153, 480, 94, 359, 62"
153,2.9178082191780823,0.9317460410066184,0,1,4,0,13,4,34,3,10,0,4,73,153,"153, 480, 94, 555"
266,3.5,0.8796644381862461,0,1,0,0,2,0,17,4,14,0,5,43,153,"153, 94"
296,4.233532934131737,0.8355512413495998,0,0,2,0,4,1,17,9,45,26,63,167,"232, 153, 156","232, 153, 156, 1, 480, 215, 94, 152, 555, 302, 290, 359, 346, 62, 286, 262"
356,4.125,0.8443086774735546,0,1,1,0,5,0,21,15,55,22,56,176,"232, 153, 156","232, 153, 156, 1, 480, 215, 94, 555, 300, 365, 62, 286"
364,4.052380952380952,0.7169775286274854,0,0,0,0,0,2,18,10,38,11,26,105,"232, 153","232, 153, 480, 94, 286"
455,2.14,1.094684124911535,0,3,5,1,4,1,9,0,2,0,0,25,153,"153, 286"
500,3.3795180722891565,0.8248812236958694,0,0,1,0,6,7,29,10,21,2,7,83,"232, 153, 156","232, 153, 156, 1, 480, 94, 555, 286"
520,3.073170731707317,0.9523718785862754,0,0,1,2,8,1,12,6,8,1,2,41,153,"153, 480"
527,4.221739130434782,0.929986097679116,0,2,1,0,3,1,6,8,32,18,44,115,"232, 153","232, 153, 1, 480, 215, 152, 300, 290, 359, 346, 3, 62, 286"
586,2.9934210526315788,1.0376043595790951,0,0,6,3,11,4,26,5,14,3,4,76,"232, 153, 156","232, 153, 156, 480, 94, 555, 62"
597,3.54320987654321,0.870335893722208,0,1,1,0,3,4,25,7,27,6,7,81,"232, 153, 156","232, 153, 156, 480, 94, 555, 286"
616,3.4285714285714284,0.8789122666607702,0,0,1,0,1,1,11,3,8,0,3,28,153,153
778,3.9913793103448274,0.8810449304030923,0,1,0,0,2,1,5,8,18,11,12,58,"153, 156","153, 156, 480, 215, 555, 346, 62, 286"
788,2.5729166666666665,1.1438530599229235,0,3,6,0,11,3,15,2,5,1,2,48,153,"153, 480, 555"
858,4.254901960784314,0.9459269068302392,0,0,1,2,2,4,8,3,21,15,46,102,"232, 153, 156","232, 153, 156, 480, 152, 435, 302, 290, 346, 62"
1028,3.75,0.7510676161988108,0,0,0,0,2,2,7,3,18,5,3,40,"232, 153, 156","232, 153, 156, 480, 315"
1196,4.228813559322034,0.8639109734636918,0,1,0,0,3,3,12,3,32,19,45,118,"232, 153","232, 153, 1, 480, 215, 555, 290, 365, 62"
1198,4.208333333333333,0.7975576034626725,0,1,1,0,0,2,4,13,39,11,37,108,"232, 153, 156","232, 153, 156, 1, 480, 215, 152, 555, 302, 290, 359, 62"
1206,4.049295774647887,1.025234919342408,0,1,1,1,2,2,6,6,19,9,24,71,"153, 156","153, 156, 1, 480, 215, 555, 346"
1208,4.174603174603175,0.7939221246380274,0,0,0,0,2,1,5,8,18,7,22,63,"153, 156","153, 156, 1, 480, 215, 555, 290, 346"
1246,3.9285714285714284,0.9736101204623269,0,0,1,1,2,1,6,4,14,9,11,49,153,"153, 480, 215, 359, 62"
1258,4.107692307692307,0.7315026683793805,0,0,0,0,2,1,3,11,23,8,17,65,"232, 153","232, 153, 1, 480, 555, 290, 346, 286"
1259,3.9705882352941178,0.757705514734335,0,0,0,0,1,0,9,10,14,5,12,51,153,"153, 480, 215, 555, 290, 365"
1271,3.761904761904762,0.7003400534570262,0,0,0,0,1,0,4,4,7,4,1,21,153,"153, 480, 215"
1380,2.9651162790697674,1.1411948043149114,0,2,3,1,5,3,12,6,6,3,2,43,"232, 153","232, 153, 480, 365"
1682,3.8227848101265822,0.8398640560155092,0,1,0,1,0,6,11,10,23,20,7,79,"232, 153, 156","232, 153, 156, 480, 359, 62, 286"
1704,4.102409638554217,0.7189042990033356,0,0,0,0,0,2,11,11,25,12,22,83,"153, 156","153, 156, 480, 215, 300, 290, 359, 346, 365, 62"
1721,3.5481927710843375,1.0169732046477407,0,1,2,2,6,3,13,13,28,4,11,83,"232, 153, 156","232, 153, 156, 480, 359, 62, 286"
1732,3.8257575757575757,1.141835311587393,0,3,1,1,0,3,6,12,15,8,17,66,"153, 156","153, 156, 1, 480, 555, 62, 286"
1907,3.4523809523809526,0.906983488063067,0,0,0,1,1,2,5,3,6,1,2,21,"232, 153","232, 153"
1954,3.8333333333333335,1.0962455865201521,0,2,0,0,1,2,3,5,12,6,8,39,"232, 153, 156","232, 153, 156, 1, 480"
1961,3.7758620689655173,0.7618791046583063,0,0,0,1,2,1,10,8,24,6,6,58,"232, 153, 156","232, 153, 156, 480, 290, 359, 365, 62, 286"
2005,3.6184210526315788,0.8255564096358008,0,0,0,0,2,4,8,5,10,6,3,38,"232, 153","232, 153, 1, 480, 215, 365"
2011,3.3796296296296298,1.032194882438358,0,0,3,0,6,3,12,6,15,4,5,54,153,"153, 480, 555, 62"
2080,3.3448275862068964,1.035990280875726,0,1,1,0,2,1,6,8,7,0,3,29,"232, 153, 156","232, 153, 156, 480, 3"
2174,3.456140350877193,0.8252743145376507,0,0,2,1,2,2,14,10,19,7,0,57,"153, 156","153, 156, 1, 480, 555"
2291,3.6704545454545454,0.5801281115346952,0,0,0,0,1,1,9,9,20,3,1,44,"232, 153","232, 153, 1, 480, 365"
2324,4.113207547169812,0.9232129798133207,0,0,0,0,4,1,5,5,10,10,18,53,153,"153, 480, 215, 300, 359, 365"
2355,3.290909090909091,0.9062075486400019,0,2,1,0,2,3,18,11,15,0,3,55,"232, 153","232, 153, 480, 290"
2378,2.730769230769231,1.2009611535381535,0,1,1,0,3,1,2,2,2,1,0,13,153,"153, 555"
2395,3.546875,1.187022399712556,0,0,2,1,3,1,3,6,8,1,7,32,"153, 156","153, 156, 1, 480, 346"
2396,3.809090909090909,0.9153571914169832,0,0,0,2,3,2,6,5,23,4,10,55,"153, 156","153, 156, 480, 555, 290, 359, 346"
2572,3.546875,1.0652833562166726,0,1,1,0,0,3,8,3,8,4,4,32,153,"153, 480, 555, 365, 286"
2671,3.4838709677419355,1.1581873119070012,0,1,2,0,1,1,6,5,8,3,4,31,153,"153, 480, 555"
2710,2.7837837837837838,1.2049696892253978,0,1,6,1,4,4,6,6,7,0,2,37,153,"153, 480, 555, 286"
2858,4.009009009009009,0.9486401319352349,0,0,5,0,1,2,9,13,38,13,30,111,"153, 156","153, 156, 1, 480, 215, 152, 555, 300, 290, 359, 346, 365"
2908,3.5,1.0465362369445672,0,0,2,0,1,0,4,3,8,3,1,22,153,"153, 480"
2959,4.252032520325203,0.7928315713776187,0,1,0,1,2,2,5,10,32,32,38,123,"232, 153","232, 153, 1, 480, 215, 152, 555, 435, 300, 290, 346, 62, 286"
3186,3.5833333333333335,0.6697233845138647,0,0,0,0,0,2,4,4,6,1,1,18,153,"153, 346"
3408,3.475609756097561,0.7327279467185888,0,0,0,1,2,2,10,9,13,3,1,41,"153, 156","153, 156, 555, 286"
3948,3.3727272727272726,0.9340185075203663,0,0,2,0,5,7,8,11,14,5,3,55,"232, 153","232, 153, 480, 365, 62"
3949,3.759259259259259,1.0804468884152674,0,3,0,0,1,2,8,5,17,10,8,54,"232, 153","232, 153, 480, 346, 3, 62"
4014,3.5357142857142856,0.9518847913926642,0,0,0,2,0,3,6,5,5,4,3,28,"153, 156","153, 156"
4226,4.127906976744186,0.8159658532057644,0,1,0,1,1,0,7,11,22,23,20,86,"232, 153, 156","232, 153, 156, 480, 215, 365, 286"
4306,3.797169811320755,0.9329377611221357,0,0,2,2,5,3,14,14,33,16,17,106,"232, 153","232, 153, 480, 359, 365, 62, 286"
4308,3.816666666666667,1.0706373652250758,0,0,1,1,1,2,2,3,10,3,7,30,153,"153, 480"
4848,3.7714285714285714,0.9021449696243322,0,0,0,1,2,1,5,5,12,3,6,35,153,"153, 480, 300, 286"
4878,4.035714285714286,0.8610804999122861,0,0,0,2,1,4,3,9,23,10,18,70,153,"153, 480, 215, 346, 62"
4896,3.6901408450704225,0.8958882152171609,0,0,0,1,4,5,12,14,18,4,13,71,"232, 291, 153","232, 291, 153, 480, 365, 62"
4973,4.178571428571429,0.8342127864549225,0,0,1,0,2,0,6,5,24,8,24,70,"153, 156","153, 156, 480, 215, 300, 346, 365, 62, 286"
4979,3.658536585365854,0.9515712295346307,0,0,0,2,2,3,4,10,9,5,6,41,"153, 156","153, 156, 480"
4995,4.034246575342466,0.7087193415046827,0,0,1,0,0,1,8,6,34,10,13,73,"232, 153","232, 153, 480, 359, 365, 62, 286"
5992,3.3,1.1105554165971787,0,0,1,0,0,2,1,2,3,0,1,10,153,153
6373,3.25,0.818665234364723,0,0,0,3,2,6,14,8,12,1,2,48,"232, 153","232, 153, 480, 62, 286"
6377,3.8315217391304346,0.8163076003709115,0,1,1,0,2,2,11,18,31,16,10,92,"232, 153, 156","232, 153, 156, 480, 359, 365, 286"
6711,3.980392156862745,0.8059825327742872,0,0,0,0,2,0,8,9,14,5,13,51,"232, 153, 156","232, 153, 156, 480, 300, 346"
6793,1.875,1.3296078906418776,0,2,2,0,1,0,2,0,1,0,0,8,153,153
6863,3.284090909090909,0.8098070921071644,0,0,1,1,3,4,10,12,10,2,1,44,"232, 153","232, 153, 480, 62, 286"
7147,3.7555555555555555,1.0369438390060117,0,2,0,1,1,0,5,9,13,8,6,45,"232, 153","232, 153, 480"
7265,3.5714285714285716,0.4498677054212186,0,0,0,0,0,0,2,2,3,0,0,7,153,"153, 480"
7293,3.59375,0.9873187869663852,0,1,0,0,3,2,3,3,14,4,2,32,"232, 153","232, 153, 480, 62"
